state_name,county_name,standardzd_per_capita_medcr_cost_fee_for_service_2015,population_estimate_2016,pop_total_male_2015,pop_total_female_2015,pop_white_male_2015,pop_white_female_2015,pop_white_hispanic_latino_male_2015,pop_black_african_amer_male_2015,pop_black_african_amer_female_2015,pop_asian_male_2015,pop_asian_female_2015,median_age_2010,medicare_enrollment_aged_tot_2015,percent_persons_25_w_hs_diploma_2011_15,percent_persons_25_w_4_yrs_college_2011_15,percent_educ_hlth_care_soc_asst_2011_15
New York,Albany,8584.71,308846,149859,159522,115536,122598,6031,20869,22241,8889,10064,38.5,43466,7.2,38.6,27
New York,Allegany,7443.7,47077,24047,23415,22895,22450,302,400,286,346,284,37.8,7675,11.4,20,35.1
New York,Bronx,10205.96,1455720,687205,768239,316860,344426,245129,292483,338935,31559,33405,32.8,150130,29.4,18.9,31.9
New York,Broome,8144.33,195334,96679,99888,83653,87060,2902,5794,5694,4389,4170,40.2,35261,10.1,27.2,29.9
New York,Cattaraugus,8148.72,77677,38621,39301,35570,36239,579,713,497,324,356,40.7,14077,12.1,17.8,26.4
New York,Cayuga,8333.32,77861,40127,38161,36135,36188,988,2736,780,225,271,41.5,12291,12.3,21.4,27
New York,Chautauqua,7923.79,129504,64832,65947,60422,62272,4005,2124,1431,413,507,40.9,24227,11.8,20.9,26.9
New York,Chemung,8528.59,86322,43219,43852,37303,39585,988,3811,2142,639,701,40.9,14928,10.3,23.4,30.4
New York,Chenango,7426.3,48579,24393,24451,23500,23694,486,280,214,117,141,42.9,9258,12.8,17.4,26.2
New York,Clinton,8046.02,81073,41666,39585,37462,37404,1052,2920,757,493,663,39.1,12756,14.3,22.1,27.8
New York,Columbia,8587.57,60989,30842,30667,27822,27903,1197,1754,1398,532,599,45.3,12093,11.6,29.3,28
New York,Cortland,8288.58,48070,23598,24896,22381,23622,488,526,414,177,305,35.8,7070,10.1,23.6,33
New York,Delaware,8068.49,45523,23185,22868,22031,21822,690,585,383,163,285,45.4,8816,13,20.2,27.4
New York,Dutchess,8794.48,294473,147041,148713,119207,122514,14670,17764,15745,5811,6150,40.2,45892,10.1,33.4,29.6
New York,Erie,7837.68,921046,446871,475707,359345,378210,18007,59853,68953,15913,15911,40.4,153005,9.6,31.6,28.2
New York,Essex,7835.36,38102,20042,18436,18329,17872,636,1096,107,125,169,44.5,7545,11.2,24.2,29.2
New York,Franklin,7342.88,50409,27706,22954,22256,20334,854,3039,131,128,130,39.3,7271,15.1,17.7,32.8
New York,Fulton,8443.45,53828,26854,27138,25464,26056,676,724,418,178,204,41.8,8660,14,16.2,27.9
New York,Genesee,8016.12,58482,29362,29575,27079,27663,783,1192,794,192,216,41.5,10652,9.2,20,24.3
New York,Greene,8599.84,47508,24769,22856,21604,21374,1272,2380,698,229,244,44,8895,13.5,20.6,24.6
New York,Hamilton,7142.62,4542,2365,2347,2280,2270,33,28,20,11,19,51.3,1357,9.3,24.5,23.5
New York,Herkimer,8014.68,62613,31127,31973,29980,30855,540,480,372,138,229,42.1,10595,10.2,22.4,28.3
New York,Jefferson,7976.28,114006,61775,55860,53378,49760,4021,5101,2946,936,1026,32.6,15245,10.6,20.7,25.2
New York,Kings,10661.93,2629150,1250686,1386049,639907,659622,175994,406466,510032,159274,168406,34.1,295177,20.7,32.8,28.8
New York,Lewis,7085.83,26865,13669,13288,13253,12901,228,141,113,42,65,40.2,4182,11,15.2,26.4
New York,Livingston,6869.44,64257,32462,32255,29916,30623,1082,1500,485,412,523,39.8,10343,11.4,23.6,28
New York,Madison,7390.87,71329,35309,36540,33500,34678,638,775,656,285,383,39.5,11260,9.6,26.2,28.7
New York,Monroe,8473.85,747727,362121,387479,281123,296727,22371,56490,64958,13558,14420,38.5,118227,9.8,36.2,31
New York,Montgomery,8060.26,49276,24494,25148,22859,23578,2787,785,659,187,242,40.8,9552,15.7,16.2,26.2
New York,Nassau,9859.16,1361500,660651,700699,502929,525238,96950,79855,92505,61972,66770,41.1,222224,9.2,42.8,28.3
New York,New York,9060.24,1643734,778656,865862,510307,548365,139119,139255,160396,93104,117207,36.4,235373,13.4,59.9,22.3
New York,Niagara,8006.83,211758,103656,108996,91470,95971,2400,7394,7838,1080,1318,41.9,37317,9.5,23.2,24.8
New York,Oneida,8595.66,231190,115825,116675,99233,102051,5189,9113,6801,4551,4890,40.8,40487,12.2,23.2,28.7
New York,Onondaga,8674.11,466194,226291,242172,182333,194421,7583,26281,29140,8692,9353,38.6,73026,9.8,34.1,31
New York,Ontario,7445.14,109828,53813,55748,50478,52459,2127,1575,1381,597,740,42.1,19717,7.7,31.7,28.5
New York,Orange,9447.15,379210,189142,188505,153825,153575,30230,23015,22502,5230,5394,36.6,47678,10.9,29.2,25.7
New York,Orleans,8377.69,41346,20677,20905,18461,18990,797,1533,1238,109,110,41,6352,14.6,15.4,23
New York,Oswego,8538.98,118987,60133,60013,57895,57633,1223,759,615,337,586,38.5,18304,13.6,17.6,25.5
New York,Otsego,7498.4,60097,29518,31118,27771,29456,874,723,644,399,482,40.9,11442,10.1,27.7,34.6
New York,Putnam,8788.27,98900,49349,49693,45396,45721,6085,1686,1575,1102,1343,41.9,14356,7.6,37.9,27.2
New York,Queens,9727.53,2333054,1135382,1203768,565907,573319,270098,220323,261527,298333,317184,37.2,291249,19.6,30.4,23.9
New York,Rensselaer,8421.28,160070,79139,81127,69003,70667,2601,5765,6166,2164,2038,39.2,24465,9.2,28.6,27.5
New York,Richmond,9305.3,476015,229782,244776,177196,186979,34566,26358,30217,19923,21014,38.4,67129,11.3,30.8,29.1
New York,Rockland,9778.52,326780,159726,166311,124739,127955,23947,20411,22537,10311,11664,36.7,47578,12.7,40.3,31.6
New York,St. Lawrence,7703.5,110038,56693,54314,52253,51672,1198,2354,595,592,692,37.5,17734,12,22.3,34.5
New York,Saratoga,7957.66,227053,111844,114405,104428,107412,3006,2178,1868,2851,2946,40.9,35903,5.9,39,25.4
New York,Schenectady,7943.09,154553,75252,79352,59558,63461,3558,8764,8850,3548,3595,39.8,27822,9.5,30.5,28.4
New York,Schoharie,7422.78,31317,15592,15738,14933,15122,411,281,206,111,142,42.5,5589,11.8,19.6,26.3
New York,Schuyler,7825.57,18099,9092,9094,8810,8773,140,94,92,44,56,44.2,3160,10.1,19.5,28.7
New York,Seneca,7964.74,34777,18198,16635,16093,15908,581,1602,267,132,141,41,5204,14.7,20.2,27.5
New York,Steuben,7207.3,96940,48360,49271,45816,46934,678,968,632,725,806,41.4,17062,10.7,21.3,25.7
New York,Suffolk,10001.01,1492583,739478,762109,629113,645368,126381,61051,65491,30471,32377,39.8,229139,10.1,34,26.5
New York,Sullivan,8654.88,74801,38368,36509,32242,31443,4996,4239,3159,579,715,41.7,12487,14,22.2,30.7
New York,Tioga,7766.07,48760,24608,24845,23739,24079,367,266,209,167,213,42.5,8367,9.1,24.4,27
New York,Tompkins,6617.21,104871,51610,53316,41666,43533,1939,2214,2307,5824,5402,29.8,13018,5.8,50.8,46.3
New York,Ulster,8501.88,179225,89478,90665,77597,80678,7784,7315,5078,1811,2024,42,30489,10.3,30.1,29.4
New York,Warren,7971.24,64567,31661,33027,30371,31804,610,471,339,240,314,44.1,13565,9.1,28.2,26.2
New York,Washington,7813.91,61800,32327,29903,29777,29036,780,1893,221,137,209,41.7,10654,11.5,19.4,22.8
New York,Wayne,8681.44,90798,45307,46139,42212,43339,1794,1694,1306,260,412,41.6,16089,10.4,20.6,25.4
New York,Westchester,9579.37,974542,472457,503939,354160,369606,97561,73185,84873,28708,33209,40,148115,12.5,46.7,27.4
New York,Wyoming,7384.2,40791,22318,18695,19432,18244,729,2458,88,88,123,40.9,6393,12.8,15.2,21.5
New York,Yates,5796.79,24923,12204,12844,11858,12485,276,142,101,45,91,40.7,4858,14.2,23.7,26